,path id,covered nerve,uncovered nerve,covered nerve (subclasses),complete (subclasses)
34,ilxtr:neuron-type-bromo-1,[],"['ILX:0793215', 'ILX:0793211', 'ILX:0738372', 'ILX:0793219', 'ILX:0784439', 'ILX:0793210', 'ILX:0788945', 'ILX:0785825', 'ILX:0791105', 'ILX:0793218', 'ILX:0787082', 'ILX:0793212', 'ILX:0787562', 'ILX:0793209', 'ILX:0793216', 'ILX:0793220', 'ILX:0787946', 'ILX:0793208', 'ILX:0793214', 'ILX:0793213', 'ILX:0793217']","['FMA:6124', 'FMA:6133', 'FMA:6762', 'FMA:6763', 'FMA:6760', 'FMA:6761', 'FMA:6122', 'FMA:6757', 'FMA:6082', 'FMA:6084', 'FMA:6758', 'FMA:6759', 'FMA:6083', 'FMA:6085', 'FMA:65923', 'FMA:65924']",False
35,ilxtr:sparc-nlp/mmset1/11,[],"['ILX:0793208', 'ILX:0793209', 'ILX:0793210', 'ILX:0793212', 'ILX:0793211']",[],False
36,ilxtr:sparc-nlp/swglnd/156,[],"['ILX:0793208', 'ILX:0793214', 'ILX:0793213', 'ILX:0793209', 'ILX:0793210', 'ILX:0793212', 'ILX:0793211']",[],False
37,ilxtr:sparc-nlp/swglnd/158,[],"['ILX:0793208', 'ILX:0793210', 'ILX:0738372', 'ILX:0793209']","['FMA:6083', 'FMA:6085']",False
38,ilxtr:sparc-nlp/swglnd/160,[],"['ILX:0793215', 'ILX:0793216', 'ILX:0793210', 'ILX:0793217', 'ILX:0793214', 'ILX:0793218', 'ILX:0793213', 'ILX:0793212', 'ILX:0793211']",[],False
39,ilxtr:neuron-type-aacar-6,[],"['ILX:0787562', 'ILX:0787946', 'ILX:0791105', 'ILX:0787082', 'ILX:0784439', 'ILX:0788945']","['FMA:6124', 'FMA:6133', 'FMA:6762', 'FMA:6763', 'FMA:6760', 'FMA:6761', 'FMA:6122', 'FMA:6757', 'FMA:6082', 'FMA:6084', 'FMA:6758', 'FMA:6759']",True
40,ilxtr:sparc-nlp/mmset1/12,[],"['ILX:0739304', 'ILX:0790497', 'UBERON:0001780', 'ILX:0739303', 'ILX:0784439', 'ILX:0788945']","['FMA:6760', 'FMA:6761', 'FMA:6758', 'FMA:6759', 'FMA:6038', 'FMA:6039', 'FMA:6088', 'FMA:6089', 'FMA:6116', 'FMA:6117', 'FMA:6182', 'FMA:6183', 'FMA:6291', 'FMA:6292', 'FMA:6294', 'FMA:6295', 'FMA:6297', 'FMA:6298', 'FMA:6300', 'FMA:6301', 'FMA:6303', 'FMA:6305', 'FMA:6307', 'FMA:6308', 'FMA:6310', 'FMA:6311', 'FMA:6313', 'FMA:6314', 'FMA:6410', 'FMA:6411', 'FMA:6412', 'FMA:6413', 'FMA:6417', 'FMA:6418', 'FMA:6419', 'FMA:6420', 'FMA:6421', 'FMA:6422', 'FMA:6428', 'FMA:6429', 'FMA:6430', 'FMA:6431', 'FMA:6432', 'FMA:6433', 'FMA:6434', 'FMA:6435', 'FMA:6436', 'FMA:6437', 'FMA:6438', 'FMA:6439']",False
41,ilxtr:neuron-type-bolew-unbranched-11,[],['UBERON:0001649'],"['FMA:50892', 'FMA:50894']",True
42,ilxtr:neuron-type-bolew-unbranched-12,[],"['UBERON:0009009', 'UBERON:0001649']","['FMA:50892', 'FMA:50894', 'FMA:53508', 'FMA:53509']",True
43,ilxtr:sparc-nlp/mmset1/5,[],"['UBERON:0036216', 'UBERON:0001649', 'ILX:0793722']","['FMA:50892', 'FMA:50894', 'FMA:53481', 'FMA:53482', 'FMA:53502', 'FMA:53503']",True
44,ilxtr:neuron-type-bolew-unbranched-14,[],['ILX:0738293'],[],False
45,ilxtr:neuron-type-bolew-unbranched-15,[],['ILX:0738293'],[],False
46,ilxtr:neuron-type-bolew-unbranched-2,[],['ILX:0738372'],"['FMA:6083', 'FMA:6085']",True
47,ilxtr:neuron-type-bolew-unbranched-23,[],['UBERON:0001650'],[],False
48,ilxtr:neuron-type-bolew-unbranched-4,[],['UBERON:0001884'],"['FMA:6192', 'FMA:6193']",True
49,ilxtr:neuron-type-bolew-unbranched-5,[],['UBERON:0001884'],"['FMA:6192', 'FMA:6193']",True
50,ilxtr:sparc-nlp/femrep/36,[],"['ILX:0793216', 'ILX:0793215']",[],False
51,ilxtr:sparc-nlp/swglnd/162,[],"['ILX:0793221', 'ILX:0793218', 'ILX:0793216', 'ILX:0793220', 'ILX:0793217']",[],False
52,ilxtr:sparc-nlp/kidney/146,[],"['ILX:0793221', 'ILX:0793218', 'ILX:0793219', 'ILX:0793220', 'ILX:0793361']",[],False
53,ilxtr:sparc-nlp/kidney/149,[],"['ILX:0793220', 'ILX:0793218', 'ILX:0793219']",[],False
54,ilxtr:sparc-nlp/kidney/151,[],"['ILX:0793220', 'ILX:0793218', 'ILX:0793219']",[],False
55,ilxtr:neuron-type-keast-6,[],"['UBERON:0018683', 'ILX:0785733', 'ILX:0793221', 'ILX:0793220', 'ILX:0785825']","['FMA:65923', 'FMA:65924', 'FMA:6924', 'FMA:6925', 'FMA:6926', 'FMA:6927', 'FMA:6928', 'FMA:6929', 'FMA:6930', 'FMA:6931', 'FMA:65921', 'FMA:65922']",False
56,ilxtr:neuron-type-keast-7,[],"['UBERON:0018683', 'ILX:0785733', 'ILX:0793221', 'ILX:0793220', 'ILX:0785825']","['FMA:65923', 'FMA:65924', 'FMA:6924', 'FMA:6925', 'FMA:6926', 'FMA:6927', 'FMA:6928', 'FMA:6929', 'FMA:6930', 'FMA:6931', 'FMA:65921', 'FMA:65922']",False
57,ilxtr:neuron-type-keast-8,[],"['ILX:0793220', 'ILX:0793221']",[],False
58,ilxtr:neuron-type-keast-1,[],['ILX:0793559'],[],False
59,ilxtr:neuron-type-keast-10,[],"['UBERON:0018675', 'ILX:0793559']",[],False
60,ilxtr:neuron-type-keast-11,[],"['UBERON:0018683', 'ILX:0793559']","['FMA:6924', 'FMA:6925', 'FMA:6926', 'FMA:6927', 'FMA:6928', 'FMA:6929', 'FMA:6930', 'FMA:6931']",False
61,ilxtr:neuron-type-keast-2,[],['ILX:0793559'],[],False
62,ilxtr:neuron-type-keast-3,[],['ILX:0793559'],[],False
63,ilxtr:neuron-type-keast-4,[],"['ILX:0739299', 'UBERON:0018675', 'ILX:0793559', 'ILX:0793228']","['FMA:65991', 'FMA:65992']",False
64,ilxtr:neuron-type-keast-5,[],['UBERON:0018675'],[],False
65,ilxtr:sparc-nlp/femrep/100,[],['UBERON:0018675'],[],False
66,ilxtr:sparc-nlp/femrep/101,[],['UBERON:0018675'],[],False
67,ilxtr:sparc-nlp/femrep/52,[],['UBERON:0018675'],[],False
68,ilxtr:sparc-nlp/femrep/62,[],['UBERON:0018675'],[],False
69,ilxtr:sparc-nlp/femrep/63,[],['UBERON:0018675'],[],False
70,ilxtr:sparc-nlp/femrep/84,[],['UBERON:0018675'],[],False
71,ilxtr:sparc-nlp/kidney/137,[],['UBERON:0018675'],[],False
72,ilxtr:sparc-nlp/mmset4/1,[],['UBERON:0018675'],[],False
73,ilxtr:sparc-nlp/mmset4/2,[],['UBERON:0018675'],[],False
74,ilxtr:sparc-nlp/prostate/13,[],['UBERON:0018675'],[],False
75,ilxtr:sparc-nlp/prostate/17,[],['UBERON:0018675'],[],False
