,nerve id,label,covered,subclasses,subclass labels
36,UBERON:0018683,lumbar splanchnic nerve,False,"['FMA:6924', 'FMA:6925', 'FMA:6926', 'FMA:6927', 'FMA:6928', 'FMA:6929', 'FMA:6930', 'FMA:6931']","[['right first lumbar splanchnic nerve'], ['left first lumbar splanchnic nerve'], ['right second lumbar splanchnic nerve'], ['left second lumbar splanchnic nerve'], ['right third lumbar splanchnic nerve'], ['left third lumbar splanchnic nerve'], ['right fourth lumbar splanchnic nerve'], ['left fourth lumbar splanchnic nerve']]"
37,UBERON:0011390,pudendal nerve,False,"['FMA:21863', 'FMA:21864']","[['right pudendal nerve'], ['left pudendal nerve']]"
38,ILX:0739299,gray communicating ramus of sixth lumbar nerve,False,[],[]
39,ILX:0793228,gray communicating ramus of first sacral nerve,False,"['FMA:65991', 'FMA:65992']","[['gray communicating ramus of right first sacral nerve'], ['gray communicating ramus of left first sacral nerve']]"
40,ILX:0793221,white communicating ramus of second lumbar spinal nerve,False,"['FMA:16886', 'FMA:16887']","[['white communicating ramus of right second lumbar nerve', 'white ramus communicans of right second lumbar spinal nerve'], ['white communicating ramus of left second lumbar nerve', 'white ramus communicans of left second lumbar spinal nerve']]"
41,ILX:0785733,gray communicating ramus of second lumbar nerve,False,"['FMA:65921', 'FMA:65922']","[['gray communicating ramus of right second lumbar nerve'], ['gray communicating ramus of left second lumbar nerve']]"
42,UBERON:0018680,greater splanchnic nerve,False,"['FMA:6955', 'FMA:6956']","[['left greater splanchnic nerve', 'left greater thoracic splanchnic nerve'], ['right greater thoracic splanchnic nerve', 'right greater splanchnic nerve']]"
43,ILX:0785932,gray communicating ramus of third lumbar nerve,False,"['FMA:65919', 'FMA:65920']","[['gray communicating ramus of right third lumbar nerve'], ['gray communicating ramus of left third lumbar nerve']]"
44,ILX:0788536,gray communicating ramus of fourth lumbar nerve,False,"['FMA:65917', 'FMA:65918']","[['gray communicating ramus of right fourth lumbar nerve'], ['gray communicating ramus of left fourth lumbar nerve']]"
45,ILX:0793362,white communicating ramus of fourth lumbar anterior ramus,False,[],[]
46,ILX:0793361,white communicating ramus of third lumbar spinal nerve,False,[],[]
47,ILX:0793632,lumbar colonic nerve,False,[],[]
48,ILX:0793563,splenic nerve,False,[],[]
