Term ID,Group name,available
FMA:65938,Left L1 spinal nerve branch to left genitofemoral nerve,
FMA:7078,Left L1 spinal nerve posterior ramus,"['FMA:7078', 'ILX:0786635']"
FMA:16401,Left L1 spinal nerve posterior ramus lateral branch,"['FMA:16401', 'ILX:0784506']"
FMA:16885,Left L1 white ramus communicans,"['FMA:16885', 'ILX:0785376']"
FMA:65922,Left L2 grey ramus communicans,
FMA:6413,Left L2 spinal nerve,"['FMA:6413', 'ILX:0789476']"
FMA:65942,Left L2 spinal nerve branch to left genitofemoral nerve,
FMA:65949,Left L2 spinal nerve branch to left obturator nerve,
FMA:8833,Left L2 spinal nerve posterior ramus,"['FMA:8833', 'ILX:0785297']"
FMA:16403,Left L2 spinal nerve posterior ramus lateral branch,"['FMA:16403', 'ILX:0790256']"
FMA:16887,Left L2 white ramus communicans,"['FMA:16887', 'ILX:0788743']"
FMA:65920,Left L3 grey ramus communicans,
FMA:6418,Left L3 spinal nerve,"['FMA:6418', 'ILX:0784426']"
FMA:8836,Left L3 spinal nerve posterior ramus,"['FMA:8836', 'ILX:0786775']"
FMA:16405,Left L3 spinal nerve posterior ramus lateral branch,"['FMA:16405', 'ILX:0788843']"
FMA:65918,Left L4 grey ramus communicans,
FMA:6420,Left L4 spinal nerve,"['FMA:6420', 'ILX:0787065']"
FMA:65916,Left L5 grey ramus communicans,
FMA:6422,Left L5 spinal nerve,"['FMA:6422', 'ILX:0789454']"
FMA:65992,Left S1 grey ramus communicans,
FMA:6429,Left S1 spinal nerve,"['FMA:6429', 'ILX:0790445']"
FMA:65994,Left S2 grey ramus communicans,
FMA:6431,Left S2 spinal nerve,"['FMA:6431', 'ILX:0786242']"
FMA:66036,Left S2 spinal nerve branch to left pudendal nerve,
FMA:65996,Left S3 grey ramus communicans,
FMA:6433,Left S3 spinal nerve,"['FMA:6433', 'ILX:0792824']"
FMA:66039,Left S3 spinal nerve branch to left pudendal nerve,
FMA:65998,Left S4 grey ramus communicans,
